,SE,S,NE,N
2025-10-08 05:00:00,0.0,0.0,0.0,0.0
2025-10-08 06:00:00,0.0,0.0,0.0,0.0
2025-10-08 07:00:00,0.0,0.0,0.0,0.0
2025-10-08 08:00:00,0.0,1.262084523574545e-06,1.6474348246081086e-05,1.4666322612900127e-05
2025-10-08 09:00:00,0.0,0.09160019496525436,0.03425619664017835,0.09041562655353501
2025-10-08 10:00:00,0.12858265389733475,0.4603933702624229,0.0675192662272403,0.4067771467180804
2025-10-08 11:00:00,0.7174523284790569,0.7003736968610966,0.10706177626696793,0.5838372843523154
2025-10-08 12:00:00,0.9075405330927026,0.7671738730932515,0.31340928112627675,0.6301144312337287
2025-10-08 13:00:00,0.9506913723264167,0.8106404527911064,0.8424068542438858,0.7734814611245527
2025-10-08 14:00:00,0.9163420804867282,0.8264695077167066,0.9885148524372575,0.7489365968157753
2025-10-08 15:00:00,0.9505264546221341,0.7610826116226728,0.9607570182446341,0.7394296879555564
2025-10-08 16:00:00,0.8611057128915042,0.7631086730883697,0.8102645254841323,0.719712402603418
2025-10-08 17:00:00,0.716874760533402,0.7357171734004506,0.7630417460254764,0.6913069829258321
2025-10-08 18:00:00,0.423613200827811,0.6421143373783593,0.4248782183624996,0.5875375683515716
2025-10-08 19:00:00,0.1839791799062245,0.43752676810403013,0.03493503414509505,0.4280924717680944
2025-10-08 20:00:00,0.06125821767783289,0.12006469482432222,0.0,0.12540230389347617
2025-10-08 21:00:00,0.00013318174833079404,0.004176793408820761,0.0,0.002924567971142107
2025-10-08 22:00:00,0.0,0.0,0.0,0.0
2025-10-08 23:00:00,0.0,0.0,0.0,0.0
2025-10-09 00:00:00,0.0,0.0,0.0,0.0
2025-10-09 01:00:00,0.0,0.0,0.0,0.0
2025-10-09 02:00:00,0.0,0.0,0.0,0.0
2025-10-09 03:00:00,0.0,0.0,0.0,0.0
2025-10-09 04:00:00,0.0,0.0,0.0,0.0
2025-10-09 05:00:00,0.0,0.0,0.0,0.0
2025-10-09 06:00:00,0.0,0.0,0.0,0.0
2025-10-09 07:00:00,0.0,0.0,0.0,0.0
2025-10-09 08:00:00,0.004369527434780054,0.0,0.0,0.0
2025-10-09 09:00:00,0.1190741929835176,0.04617817085136065,0.0,0.052404285744856324
2025-10-09 10:00:00,0.30502761947598966,0.20333266547413922,0.3039164439412374,0.2532424969345948
2025-10-09 11:00:00,0.5527793018289039,0.3967118157045054,0.8416840570082638,0.39625380664256843
2025-10-09 12:00:00,0.7574746034089848,0.45699868234020946,0.6628169306993463,0.507527657482963
2025-10-09 13:00:00,0.9210948611374455,0.6602144811184494,0.8155559421088304,0.6279237546236633
2025-10-09 14:00:00,0.9363279037270538,0.7180919136885303,0.9502747770800828,0.7806115646735341
2025-10-09 15:00:00,0.9121149335883321,0.627013466310757,0.8398322116656639,0.6698741582363155
2025-10-09 16:00:00,0.9041460908077821,0.6855877885718429,0.505701996776027,0.624249388591591
2025-10-09 17:00:00,0.716065923476678,0.375453353171027,0.34058916865856115,0.3238948688770151
2025-10-09 18:00:00,0.45724356643703523,0.2751972570847324,0.8290917464794935,0.1527392187110177
2025-10-09 19:00:00,0.21053130193118194,0.05500878562738767,0.5572004987496024,0.02252311324293216
2025-10-09 20:00:00,0.005989295929909555,0.009245941510902586,0.10390198041381665,0.005740871369490069
2025-10-09 21:00:00,8.849809697249261e-05,0.00031420401724761035,0.0016572138049833391,9.26088301804934e-05
2025-10-09 22:00:00,0.0,0.0,0.0,0.0
2025-10-09 23:00:00,0.0,0.0,0.0,0.0
2025-10-10 00:00:00,0.0,0.0,0.0,0.0
2025-10-10 01:00:00,0.0,0.0,0.0,0.0
2025-10-10 02:00:00,0.0,0.0,0.0,0.0
2025-10-10 03:00:00,0.0,0.0,0.0,0.0
2025-10-10 04:00:00,0.0,0.0,0.0,0.0
2025-10-10 05:00:00,0.0,0.0,0.0,0.0
2025-10-10 06:00:00,0.0,0.0,0.0,0.0
2025-10-10 07:00:00,0.0,0.0,0.0,0.0
2025-10-10 08:00:00,0.00010191246608066522,0.0,0.0,0.0
2025-10-10 09:00:00,0.001841425857293156,0.023799471168109015,0.0,0.020011730251872046
